사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Jul,2호선,50,신촌,80,7,7340,2910,13651,16519,35363,37254,47911,83158,33153,99590,31772,60103,38493,55200,46825,58983,49647,69082,51234,59799,60313,54581,72453,57980,91188,76728,96188,114091,64814,77504,66247,37567,73341,30679,79484,27569,31206,22135,21,165,1,2,0,0,0,0
20-Jul,2호선,51,이대,32,2,2665,1739,6830,12180,20164,11722,25661,34080,15490,29334,11733,19970,12696,16645,18678,18905,19193,21089,16942,18574,19141,17489,27573,18467,37624,21891,33687,31279,19437,23638,16526,13660,15775,12705,13094,13013,3870,10483,2,110,0,0,0,0,0,0
20-Jul,2호선,52,아현,14,1,4700,1281,10734,7155,27533,12608,34372,24040,21491,11959,14615,9251,13574,8804,13862,9884,13781,11112,14277,11879,17705,12881,18175,14432,19185,20058,20069,29356,11931,23216,8142,14763,6298,14294,4558,14058,1703,9177,3,50,0,1,0,0,0,0
20-Jul,2호선,53,충정로(경기대입구),20,0,3202,897,6522,5792,16252,22711,21549,61885,13984,31626,10668,12937,11139,9824,11461,9265,12343,11146,12056,10535,13310,10707,15980,11881,26440,15020,51155,22095,16928,15637,10473,9975,9852,9831,7690,9391,2867,6799,3,204,0,0,0,0,0,0
20-Jul,2호선,54,용답,42,0,2383,244,3423,919,7952,1876,12985,3083,6218,2057,3766,1930,3372,2217,3721,2469,3842,2593,3412,2912,3431,3861,4051,5221,4166,5814,3975,10304,2308,7245,1595,4431,1294,4969,1016,4903,413,3584,0,17,1,1,0,0,0,0
20-Jul,2호선,55,신답,2,0,1089,154,1926,741,6644,946,9905,1809,3980,1069,2073,891,1879,1042,1791,1387,1700,1468,1623,1487,1546,2274,1629,2994,2010,3980,2310,9375,1069,7193,712,2966,602,3458,529,2714,124,2076,0,31,0,0,0,0,0,0
20-Jul,2호선,56,신설동,23,1,1125,502,1378,2187,3121,5042,5926,14193,4073,8472,3781,5858,4609,5986,5437,6044,6497,6132,7052,5756,7565,5331,8354,4519,11467,4908,12545,5436,4926,3993,2904,2483,2512,2042,1726,2048,538,1443,2,427,0,0,0,0,0,0
20-Jul,2호선,57,도림천,0,0,367,259,1020,908,3133,4746,3155,6058,1984,2400,1864,1415,1484,1316,2553,1867,1759,1061,2135,1642,2930,1403,2643,1774,3151,2011,3649,2725,1996,2273,961,1466,808,1264,289,1137,186,823,3,88,0,0,1,1,0,0
20-Jul,2호선,58,양천구청,23,0,4859,916,11962,2048,33579,5677,29069,9768,15816,4974,9937,4517,9103,4685,9480,5751,9051,6775,7994,7411,7213,9348,7978,11300,8724,16730,9363,28677,4290,25652,2929,14555,2687,12581,2255,12285,820,9422,4,956,0,0,0,1,0,0
20-Jul,2호선,59,신정네거리,74,1,7976,1755,14814,6134,47116,5159,41858,12152,22116,8115,14637,7003,12471,8167,13364,8996,11890,10211,10738,10702,10688,14238,13232,16965,14139,24618,12013,43927,7233,34609,5425,18892,4279,16512,3592,15602,1453,10653,14,976,0,0,0,0,0,0
